track_id,track_name,album_name,artists,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5SuOikwiRyPMVoIQDJUgSV,Comedy,Comedy,Gen Hoshino,73,230666,False,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ghost (Acoustic),Ben Woodward,55,149610,False,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,To Begin Again,Ingrid Michaelson;ZAYN,57,210826,False,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,4
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Crazy Rich Asians (Original Motion Picture Soundtrack),Kina Grannis,71,201933,False,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3
5vjLSffimiIP26QG5WcN2K,Hold On,Hold On,Chord Overstreet,82,198853,False,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,4
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Days I Will Remember,Tyrone Wells,58,214240,False,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,4
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,Is There Anybody Out There?,A Great Big World;Christina Aguilera,74,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,We Sing. We Dance. We Steal Things.,Jason Mraz,80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4
0IktbUcnAGrvD03AWnz3Q8,Lucky,We Sing. We Dance. We Steal Things.,Jason Mraz;Colbie Caillat,74,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4
7k9GuJYLp2AzqokyEdwEw2,Hunger,Hunger,Ross Copperman,56,205594,False,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Episode,Zack Tabudlo,74,244800,False,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,4
5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,Love Is a Four Letter Word,Jason Mraz,69,240165,False,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,3
4ptDJbJl35d7gQfeNteBwp,Solo,Solo,Dan Berk,52,198712,False,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,4
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Bad Liar,Anna Hamilton,62,248448,False,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,4
4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,Hold On (Remix),Chord Overstreet;Deepend,56,188133,False,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,The Boy Who Never,Landon Pigg,58,244986,False,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3
6xKeQgzfjixSUld14qUezm,ily (i love you baby),ily (i love you baby),Andrew Foy;Renee Foy,56,129750,False,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4
4Yo0igmcoNyat1secaH0OD,At My Worst,At My Worst,Andrew Foy;Renee Foy,54,169728,False,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4
2qLMf6TuEC3ruGJg4SMMN6,Lucky,We Sing. We Dance. We Steal Things.,Jason Mraz;Colbie Caillat,68,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,"Cover Sessions, Vol. 4",Boyce Avenue;Bea Miller,67,260186,False,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,4
