user_id,username,country,plan,age_group,signup_date
1,user_1,UK,free,18-24,2023-10-05
2,user_2,France,free,18-24,2023-01-16
3,user_3,Germany,premium,18-24,2024-06-08
4,user_4,Brazil,free,25-34,2023-12-22
5,user_5,US,premium,25-34,2023-12-22
6,user_6,US,free,35-44,2024-08-21
7,user_7,US,premium,13-17,2023-03-19
8,user_8,Mexico,premium,25-34,2023-03-08
9,user_9,Brazil,free,35-44,2024-12-23
10,user_10,Germany,free,35-44,2023-08-02
11,user_11,US,free,35-44,2024-11-27
12,user_12,Australia,premium,25-34,2024-03-24
13,user_13,Mexico,free,45+,2024-03-08
14,user_14,US,premium,18-24,2024-06-28
15,user_15,US,free,25-34,2023-04-25
16,user_16,US,free,13-17,2024-02-24
17,user_17,UK,free,13-17,2024-05-13
18,user_18,India,free,18-24,2024-12-10
19,user_19,India,free,18-24,2024-01-15
20,user_20,US,premium,18-24,2023-05-23
21,user_21,Brazil,premium,18-24,2024-09-23
22,user_22,US,free,13-17,2023-01-24
23,user_23,US,premium,45+,2024-06-22
24,user_24,UK,premium,13-17,2023-03-16
25,user_25,India,premium,35-44,2024-06-18
26,user_26,Japan,free,18-24,2024-11-03
27,user_27,US,free,45+,2023-02-10
28,user_28,India,free,35-44,2024-07-21
29,user_29,Brazil,premium,25-34,2024-02-17
30,user_30,US,free,25-34,2024-02-19
31,user_31,Brazil,free,13-17,2024-03-24
32,user_32,US,free,45+,2024-09-01
33,user_33,US,free,35-44,2024-10-19
34,user_34,France,premium,35-44,2024-03-11
35,user_35,Australia,free,25-34,2024-07-05
36,user_36,Japan,free,18-24,2024-12-05
37,user_37,UK,premium,35-44,2023-08-27
38,user_38,US,premium,18-24,2023-02-11
39,user_39,Germany,premium,25-34,2024-12-08
40,user_40,India,premium,18-24,2023-01-10
41,user_41,US,premium,45+,2023-09-22
42,user_42,India,free,18-24,2024-08-03
43,user_43,US,free,18-24,2024-03-20
44,user_44,Canada,premium,25-34,2023-05-19
45,user_45,US,premium,35-44,2023-07-15
46,user_46,Brazil,premium,25-34,2023-03-15
47,user_47,UK,free,18-24,2024-09-06
48,user_48,India,free,13-17,2023-08-13
49,user_49,India,free,35-44,2024-09-26
50,user_50,US,free,45+,2023-04-12
51,user_51,Australia,free,35-44,2023-09-21
52,user_52,Japan,premium,25-34,2023-06-10
53,user_53,France,free,45+,2023-08-21
54,user_54,Canada,free,25-34,2024-05-05
55,user_55,Brazil,free,25-34,2023-11-07
56,user_56,France,premium,25-34,2024-10-12
57,user_57,US,free,25-34,2023-08-15
58,user_58,US,free,35-44,2023-09-30
59,user_59,US,free,25-34,2023-11-13
60,user_60,UK,free,18-24,2023-03-27
61,user_61,UK,premium,18-24,2023-10-18
62,user_62,US,premium,13-17,2024-04-13
63,user_63,Mexico,free,25-34,2024-12-29
64,user_64,UK,free,18-24,2024-07-31
65,user_65,US,premium,18-24,2024-10-08
66,user_66,India,free,25-34,2024-02-08
67,user_67,US,free,25-34,2024-03-02
68,user_68,Japan,free,35-44,2024-01-10
69,user_69,US,premium,25-34,2024-07-20
70,user_70,Australia,free,35-44,2023-09-09
71,user_71,Japan,free,45+,2024-06-16
72,user_72,US,premium,35-44,2023-11-03
73,user_73,US,free,25-34,2024-03-05
74,user_74,Japan,free,18-24,2024-11-05
75,user_75,Germany,premium,45+,2023-09-21
76,user_76,Germany,free,18-24,2023-03-09
77,user_77,Japan,premium,18-24,2023-04-17
78,user_78,US,free,25-34,2024-02-04
79,user_79,UK,free,13-17,2024-08-01
80,user_80,US,free,45+,2023-07-18
81,user_81,Mexico,free,25-34,2023-07-11
82,user_82,Brazil,free,25-34,2024-05-28
83,user_83,UK,premium,25-34,2024-03-17
84,user_84,US,free,25-34,2023-01-01
85,user_85,UK,free,13-17,2023-12-24
86,user_86,UK,free,25-34,2023-04-25
87,user_87,Germany,premium,25-34,2024-08-22
88,user_88,Brazil,free,25-34,2023-07-16
89,user_89,Canada,free,35-44,2024-08-26
90,user_90,India,free,18-24,2023-10-01
91,user_91,US,free,18-24,2023-06-09
92,user_92,Germany,free,18-24,2023-06-22
93,user_93,Japan,premium,18-24,2024-06-28
94,user_94,India,free,35-44,2024-04-02
95,user_95,Japan,free,35-44,2024-08-07
96,user_96,India,free,25-34,2024-03-08
97,user_97,India,premium,25-34,2024-04-25
98,user_98,India,free,25-34,2024-03-30
99,user_99,US,free,18-24,2023-07-15
100,user_100,US,free,18-24,2024-08-21
101,user_101,US,free,45+,2023-11-05
102,user_102,Brazil,free,25-34,2024-07-09
103,user_103,UK,free,45+,2024-05-08
104,user_104,India,free,18-24,2024-03-14
105,user_105,Canada,free,25-34,2024-10-11
106,user_106,US,free,18-24,2023-12-25
107,user_107,UK,free,18-24,2023-02-05
108,user_108,Japan,free,25-34,2023-02-03
109,user_109,US,premium,18-24,2023-03-29
110,user_110,US,premium,18-24,2024-10-19
111,user_111,US,premium,18-24,2023-01-16
112,user_112,US,premium,13-17,2024-02-25
113,user_113,France,premium,25-34,2024-07-06
114,user_114,Japan,premium,25-34,2023-05-06
115,user_115,Brazil,free,18-24,2023-01-08
116,user_116,Canada,premium,18-24,2024-04-16
117,user_117,Japan,free,18-24,2024-04-12
118,user_118,US,free,25-34,2024-05-24
119,user_119,Canada,premium,18-24,2024-02-06
120,user_120,India,free,35-44,2023-06-25
121,user_121,Japan,free,13-17,2024-01-02
122,user_122,Canada,premium,18-24,2024-05-02
123,user_123,UK,free,35-44,2023-01-18
124,user_124,US,free,25-34,2023-02-25
125,user_125,US,premium,13-17,2023-02-04
126,user_126,India,premium,35-44,2024-09-21
127,user_127,Japan,free,25-34,2024-12-25
128,user_128,Mexico,free,35-44,2024-07-26
129,user_129,US,free,25-34,2024-08-22
130,user_130,India,premium,25-34,2023-12-13
131,user_131,UK,free,45+,2023-02-01
132,user_132,US,free,18-24,2023-05-13
133,user_133,US,free,25-34,2024-07-29
134,user_134,UK,free,25-34,2023-07-18
135,user_135,France,premium,13-17,2023-09-13
136,user_136,UK,free,13-17,2023-12-08
137,user_137,India,premium,18-24,2024-10-28
138,user_138,Germany,free,25-34,2023-08-19
139,user_139,UK,premium,25-34,2023-10-28
140,user_140,Australia,premium,25-34,2024-06-30
141,user_141,Australia,free,13-17,2023-01-26
142,user_142,US,free,25-34,2024-06-18
143,user_143,India,free,45+,2024-10-14
144,user_144,UK,premium,25-34,2024-04-18
145,user_145,US,free,25-34,2024-01-22
146,user_146,US,premium,35-44,2023-10-12
147,user_147,Brazil,premium,35-44,2024-03-25
148,user_148,India,premium,25-34,2023-11-16
149,user_149,US,premium,35-44,2023-06-05
150,user_150,US,free,25-34,2024-04-15
151,user_151,Canada,free,35-44,2024-02-24
152,user_152,US,free,18-24,2023-04-23
153,user_153,US,premium,18-24,2024-10-12
154,user_154,India,premium,13-17,2024-02-26
155,user_155,Australia,premium,35-44,2024-12-21
156,user_156,US,free,25-34,2024-08-20
157,user_157,Germany,free,18-24,2023-10-12
158,user_158,Japan,premium,18-24,2024-07-25
159,user_159,US,free,45+,2023-02-23
160,user_160,Germany,free,35-44,2024-08-27
161,user_161,UK,premium,25-34,2023-11-21
162,user_162,Brazil,free,25-34,2024-04-02
163,user_163,Brazil,free,25-34,2023-09-22
164,user_164,India,free,25-34,2024-01-17
165,user_165,US,free,45+,2023-08-01
166,user_166,Mexico,premium,18-24,2023-11-29
167,user_167,UK,free,25-34,2023-01-10
168,user_168,US,free,18-24,2023-12-24
169,user_169,US,free,25-34,2023-07-22
170,user_170,Brazil,premium,25-34,2024-12-08
171,user_171,Germany,free,25-34,2023-02-27
172,user_172,US,free,18-24,2024-05-08
173,user_173,India,free,25-34,2024-05-24
174,user_174,US,free,18-24,2023-08-11
175,user_175,Brazil,free,18-24,2024-01-04
176,user_176,US,premium,13-17,2024-11-22
177,user_177,Germany,premium,35-44,2024-02-22
178,user_178,UK,free,25-34,2024-06-30
179,user_179,France,free,25-34,2023-04-13
180,user_180,US,premium,25-34,2023-06-10
181,user_181,UK,free,25-34,2023-07-19
182,user_182,US,premium,25-34,2023-06-09
183,user_183,France,free,25-34,2024-11-25
184,user_184,Canada,premium,18-24,2023-05-16
185,user_185,US,premium,25-34,2024-02-02
186,user_186,Brazil,premium,25-34,2024-01-27
187,user_187,Japan,premium,35-44,2023-04-16
188,user_188,India,free,35-44,2024-08-05
189,user_189,India,premium,18-24,2024-08-11
190,user_190,US,free,18-24,2023-02-23
191,user_191,US,free,25-34,2023-10-04
192,user_192,Canada,premium,18-24,2023-04-21
193,user_193,Canada,premium,13-17,2023-08-12
194,user_194,Brazil,premium,35-44,2023-03-16
195,user_195,UK,free,18-24,2024-05-20
196,user_196,UK,premium,45+,2023-01-14
197,user_197,Germany,premium,25-34,2024-04-26
198,user_198,Canada,free,35-44,2023-07-08
199,user_199,Canada,free,18-24,2023-12-30
200,user_200,Japan,free,18-24,2023-08-27
201,user_201,Brazil,free,25-34,2024-02-05
202,user_202,US,premium,18-24,2023-10-31
203,user_203,US,premium,18-24,2023-04-01
204,user_204,Canada,premium,18-24,2024-01-27
205,user_205,Brazil,premium,18-24,2023-07-03
206,user_206,US,free,18-24,2023-01-17
207,user_207,US,premium,35-44,2023-01-12
208,user_208,Brazil,free,18-24,2023-06-15
209,user_209,US,premium,13-17,2023-05-26
210,user_210,US,free,25-34,2023-10-09
211,user_211,India,premium,45+,2024-07-02
212,user_212,Germany,free,18-24,2024-08-04
213,user_213,Brazil,free,18-24,2023-06-18
214,user_214,US,premium,25-34,2023-06-19
215,user_215,Germany,free,45+,2023-12-12
216,user_216,US,premium,35-44,2024-05-13
217,user_217,UK,free,25-34,2024-04-04
218,user_218,Germany,premium,18-24,2023-10-24
219,user_219,Brazil,free,25-34,2023-05-22
220,user_220,Mexico,free,18-24,2024-11-25
221,user_221,Brazil,free,25-34,2023-02-22
222,user_222,India,free,25-34,2023-04-28
223,user_223,US,free,45+,2023-12-31
224,user_224,UK,free,18-24,2024-11-01
225,user_225,US,free,13-17,2023-05-16
226,user_226,US,free,25-34,2024-02-18
227,user_227,Australia,free,25-34,2023-03-18
228,user_228,UK,premium,35-44,2024-07-10
229,user_229,Canada,free,18-24,2023-01-18
230,user_230,Brazil,free,18-24,2024-02-07
231,user_231,Japan,premium,25-34,2023-07-24
232,user_232,India,free,18-24,2024-05-13
233,user_233,Brazil,premium,35-44,2023-11-20
234,user_234,India,free,25-34,2024-08-17
235,user_235,US,free,35-44,2024-07-15
236,user_236,Germany,free,25-34,2023-10-08
237,user_237,US,premium,35-44,2023-06-15
238,user_238,US,premium,18-24,2023-08-31
239,user_239,Brazil,free,35-44,2024-04-23
240,user_240,US,free,18-24,2023-06-13
241,user_241,France,premium,25-34,2023-11-20
242,user_242,France,free,18-24,2024-07-21
243,user_243,Canada,free,25-34,2024-07-04
244,user_244,UK,premium,18-24,2024-10-01
245,user_245,US,premium,18-24,2024-09-25
246,user_246,France,free,45+,2024-11-28
247,user_247,India,premium,18-24,2023-07-27
248,user_248,Australia,premium,35-44,2023-11-11
249,user_249,Australia,free,45+,2023-10-31
250,user_250,Mexico,free,13-17,2023-08-27
251,user_251,US,free,25-34,2024-12-27
252,user_252,UK,premium,18-24,2023-08-12
253,user_253,Mexico,premium,13-17,2023-03-29
254,user_254,UK,free,25-34,2024-06-20
255,user_255,US,premium,45+,2024-03-04
256,user_256,India,free,13-17,2023-08-08
257,user_257,France,free,25-34,2023-10-02
258,user_258,Germany,free,25-34,2024-10-08
259,user_259,Brazil,free,35-44,2023-03-07
260,user_260,US,premium,18-24,2024-08-14
261,user_261,Brazil,free,25-34,2024-02-27
262,user_262,Australia,premium,25-34,2023-09-12
263,user_263,US,free,25-34,2023-05-05
264,user_264,India,free,45+,2023-05-26
265,user_265,Canada,premium,35-44,2024-09-06
266,user_266,Germany,free,13-17,2024-01-20
267,user_267,Germany,free,25-34,2024-03-22
268,user_268,Germany,free,25-34,2024-01-22
269,user_269,UK,premium,18-24,2024-01-18
270,user_270,US,free,25-34,2023-10-04
271,user_271,Japan,free,25-34,2024-01-17
272,user_272,Japan,free,25-34,2023-05-04
273,user_273,Mexico,free,45+,2023-09-24
274,user_274,Canada,premium,18-24,2023-04-21
275,user_275,India,free,45+,2024-01-16
276,user_276,India,free,25-34,2024-08-23
277,user_277,Japan,free,25-34,2023-06-07
278,user_278,Brazil,free,35-44,2024-12-28
279,user_279,Germany,premium,18-24,2024-07-01
280,user_280,Japan,free,25-34,2024-08-21
281,user_281,Canada,premium,25-34,2023-04-28
282,user_282,UK,free,18-24,2023-11-24
283,user_283,UK,free,45+,2024-11-24
284,user_284,US,premium,35-44,2023-03-09
285,user_285,Brazil,free,18-24,2024-03-09
286,user_286,US,premium,18-24,2023-12-25
287,user_287,India,premium,25-34,2024-11-01
288,user_288,India,free,18-24,2024-03-18
289,user_289,US,free,25-34,2023-06-13
290,user_290,Brazil,premium,18-24,2023-12-27
291,user_291,US,free,25-34,2024-08-07
292,user_292,US,free,13-17,2023-04-29
293,user_293,Mexico,free,18-24,2023-07-14
294,user_294,UK,free,25-34,2024-08-23
295,user_295,US,premium,25-34,2024-08-10
296,user_296,India,free,45+,2024-10-12
297,user_297,Japan,free,35-44,2023-08-29
298,user_298,US,premium,18-24,2024-05-23
299,user_299,Brazil,free,13-17,2024-10-27
300,user_300,US,free,35-44,2024-07-18
301,user_301,US,premium,45+,2023-05-22
302,user_302,India,free,35-44,2023-01-31
303,user_303,India,premium,18-24,2023-08-11
304,user_304,Brazil,premium,45+,2023-09-23
305,user_305,Germany,free,18-24,2023-10-09
306,user_306,Australia,free,25-34,2024-01-16
307,user_307,India,free,45+,2024-07-09
308,user_308,UK,free,18-24,2023-03-03
309,user_309,Japan,premium,45+,2024-12-13
310,user_310,US,premium,18-24,2024-06-04
311,user_311,India,free,45+,2023-03-12
312,user_312,US,premium,18-24,2024-08-24
313,user_313,US,premium,45+,2024-06-19
314,user_314,Australia,premium,13-17,2023-05-20
315,user_315,Mexico,free,25-34,2023-11-12
316,user_316,Germany,free,25-34,2023-12-06
317,user_317,UK,free,25-34,2024-08-12
318,user_318,US,premium,18-24,2024-12-26
319,user_319,US,free,25-34,2024-06-11
320,user_320,US,free,18-24,2024-06-24
321,user_321,India,free,25-34,2024-02-20
322,user_322,Germany,free,18-24,2024-04-11
323,user_323,Brazil,free,45+,2024-01-10
324,user_324,US,premium,13-17,2023-10-18
325,user_325,France,free,18-24,2023-02-12
326,user_326,Germany,free,18-24,2023-02-22
327,user_327,India,free,25-34,2023-08-20
328,user_328,Brazil,free,18-24,2023-07-31
329,user_329,UK,free,25-34,2023-01-08
330,user_330,US,free,35-44,2024-09-25
331,user_331,UK,free,25-34,2024-04-27
332,user_332,Japan,free,25-34,2023-02-11
333,user_333,US,free,18-24,2023-11-29
334,user_334,US,free,25-34,2023-08-21
335,user_335,US,premium,18-24,2023-03-11
336,user_336,US,premium,35-44,2023-01-16
337,user_337,Mexico,free,18-24,2023-03-10
338,user_338,Germany,free,25-34,2023-02-22
339,user_339,India,premium,18-24,2024-11-15
340,user_340,US,free,35-44,2024-01-14
341,user_341,India,premium,18-24,2024-04-07
342,user_342,India,premium,25-34,2024-06-10
343,user_343,US,free,18-24,2024-11-09
344,user_344,India,free,25-34,2023-03-04
345,user_345,UK,premium,45+,2023-09-18
